,,Aufgabe,,,,,,Kategorie,N Benoetigte Helfer,Verantwortlichkeit,Helfer,Externer Ansprechpaertenr,Kommentar
,,Planung Staene und Zelte,,,,,,standortplanung,,bs,,,"Wieviel wird benoetigt? Zelte organisieren, falls nicht genug."
,,Antragstellung  Stadt Essen,,,,,10 Wochen zuvor,verwaltung,,pr,,,
,,Antrag Bezirksvertretung 3 Zuschuss für den Martinszug,,,,,10 Wochen zuvor,verwaltung,,pr,,,Braucht noch KEINEN konkreten plan
,,"Musikgruppen anfragen ob die Bestellung i.o. geht, sonst nachordern",,,,,10 Wochen zuvor,akteure,,bs,,,
,,"Pferd anfragen ob die Bestellung i.o. geht, sonst nachordern",,,,,10 Wochen zuvor,pferd,,bs,,,W hat schon bestellt -> Nochmal absichern. Am Ende der Veranstaltung immer gruppen schon muendlich reservieren.
,,Versicherungsbescheinigung beim Pferdehalter anfordern,,,,,10 Wochen zuvor,pferd,,bs/pr,,,Wir muessen das vom Pferdehalter. Philip mus an stadt senden. GGf. versicherung noch vom letzten Jahr gueltig. Aber nachfragen.
,,Helferliste erstellen und in Umlauf bringen,,,,,10 Wochen zuvor,helfer,1,bs,,,Digital wie bei anderen Veranstaltungen auch
,,Weg abgehen. Insb. Waldweg: Gefaehrliche Stellen? -> Fuer Info ang Gruen und Gruga,,,,,10 Wochen zuvor,wegsicherheit,,bs,,,
,,Polizei Informieren,,,,,10 Wochen zuvor,verwaltung,,bs,,Julian,Weg ist immer der selbe. Das macht es einfachacher. Wir uebeerqueren keine Hauptstrasse. Julian ist Anspechpart
,,"Grün-und Gruga informieren, Rasen-Strauchschnitt",,,,,10 Wochen zuvor,wegsicherheit,,bs,,,Buergerpark: Rasen muss gemaeht werden. Wege: Straeucher beschneiden. Das waeldchen gilt als Wald! Sicherheit!
,,Martinsspiel organisieren,,,,,10 Wochen zuvor,akteure,,bs ,,ggf. Rumbacher Narren,
,,Preise fuer Brazel und broetchen absprechen (Baecker Peter?),,,,,10 Wochen zuvor,catering,,bs,,,Anderen Baecker? Aber Problem: Wie ist die anlieferung? 1000 Braezel muss man transportieren. Ganzer Anhaengerr. Passt nicht auf Edeka-parkplatz fuer ort! Evtl. liefern sie? Aber muss dann genau an dem tag um 16 Uhr...
,,Plakate/Banner/Anwohnerschreiben/Gutscheine fuer die braetzel drucken lassen,,,,,10 Wochen zuvor,werbung,,Frank,,,
,,Schulen kontaktieren wegen Gutscheinen.,,,,,4 Wochen zuvor ,brezelverkauf,,bs,wk,,W gibt liste fuer Schulen.
,,Plakate/Banner  aushängen,,,,,4 Wochen zuvor ,werbung,2,wk,,,
,,Einstellung Homepage und sonstige Internet Medien,,,,,4 Wochen zuvor ,werbung,1,vs,t,,
,,Brezelgutscheine portionieren a 40 Stück in A5 Umschläge packen,,,,,4 Wochen zuvor ,brezelverkauf,2,bs,,,Weil 40 Stk. je klasse. Beide Schulen und Kindergarten machen mit
,,Brezelgutscheine an Schulen Kitas und Verkaufsstellen  geben,,,,,4 Wochen zuvor ,brezelverkauf,1,bs,,,Achtung! Ferien berueksichtigen!,,,,,,,,
,,Wuerstchen bestellen (400?),,,,,4 Wochen zuvor ,catering,,bs,,Frohnhauser Irgendwas? Noch nicht bekannt...,,,,,,,,,
,,"Kühlwagen, Getränkebestellung , Becher Ketchup,Senf usw.",,,,,14 Tage vor Termin,catering,,sp,,,Bei Getraenke Hax am Edeka?,,,,,,,,
,,Nicht verkaufte Brezelgutscheine einsammeln und Geld zählen,,,,,10 Tage vor Termin,brezelverkauf,2,bs,,,,,,,,,,,
,,Presseinformationen herausgeben,,,,,10 Tage vor Termin,werbung,,bs,,,GGf. mit Foto,,,,,,,,
,,Brezelbestellung muss 7 Werktage vorher bei Bäcker Peter sein. Plus Broetchen fuer wuerstchen,,,,,8 Tage vor Termin,brezelverkauf,,bs,,,,,,,,,,,
,,"Brezelbänder binden, sind in der Garage, neue bei Bäcker Peter ordern (Fuer naechstes Jahr als Nachschub). ",,,,,8 Tage vor Termin,brezelverkauf,6,bs,,,Beim ,,,,,,,,
,,"Verkehrschilder Parkverbot mit Zusatzschild aufstellen,  mit Hänger",,,,,7 Tage vor Termin,verkehr,3,bs,,,Zusatzschild: z.B. Am 07.11.2025 von 12.-21.00 Uhr  Der Oberbürgermeister,,,,,,,,
,,Anwohneranschreiben verteilen,,,,,7 Tage vor Termin,werbung,2,bs,,,Im Gebiet um Buergerpark + ganze strecke.,,,,,,,,
,,Wegstreckenposten an Strassen und Kreuzungen zuordnen,,,,,7 Tage vor Termin,helfer,8,bs,,,In die Helferliste...,,,,,,,,
,,Musikgruppen ihren Standort benennen.,,,,,7 Tage vor Termin,akteure,1,bs,,,Gruppen kommen erstmal am Tag in dem Buergerpark und werden dann zu standort. ,,,,,,,,
,,"Gluehweinkocher, Grill und Feuerschale Organisieren",,,,,7 Tage vor Termin,catering,,bs,,,"Feuerschale meistens ueber peter vandermerk oder pfadfinder. Gluehweinkocher ueber schule, andreas schaefer, Turnerbund. Grill Turnerbund.",,,,,,,,
,,"Aufbauplan erstellen, wo stehen Zelte, Stromanschlüsse",,,,,7 Tage vor Termin,standortplanung,1,bs,,,,,,,,,,,
,,"Waldwegsperre Am Haus Stein öffnen, Schlüssel hat Turnerbund. Baustellenhut ueber Besteren.",,,,,1 Tag vor  Termin,wegsicherheit,,bs,,,,,,,,,,,
,,"Waldweg wie zuvor, ggf. Äste und Laub auf dem Weg entfernen",,,,,1 Tag vor  Termin,wegsicherheit,,bs,,,,,,,,,,,
,,Abholung Glühweinkocher Schule Grill Turnerbund Feuerschale,,,,,am Termin,catering,2,bs,,,"Feuerschale meistens ueber peter vandermerk oder pfadfinder. Gluehweinkocher ueber schule, andreas schaefer, Turnerbund. Grill Turnerbund.",,,,,,,,
,,Aufbau der Zelte und Zubehör 3 Zelte a 3 x 6 m,,,,,am Termin,aufbau,8,bs,,,,,,,,,,,
,,"Abholung Brötchen, Brezel, Bratwurst Pfandgeld mitnehmen 16.00 Uhr",,,,,am Termin,catering,2,bs,,,"Pfangeld fuer die Koerbe der Brezel! Vorher informieren, wie viel",,,,,,,,
,,Vor ort dann schon verkaufte von uebrigen Brezeln separieren!,,,,,am Termin,brezelverkauf,,bs,,,"Wichtig, damit man uebersicht hat, welche brezel man noch frei verkaufen kann. 2025 wurden eigentlich schon mit gutscheinen verkaufte Brezel nochmal verkauft",,,,,,,,
,,Brezelverkaufsstand 3x6m,,,,,am Termin,aufbau,8,bs,,,,,,,,,,,
,,"Bratwurst, Getränke Grill, Zapf- und Verkausstand 1",,,,,am Termin,aufbau,8,bs,,,"Am beste von vorn herein einteilen, wer grill, verkauf etc. macht.",,,,,,,,
,,"Bratwurst, Getränke Grill, Zapf- und Verkausstand 2",,,,,am Termin,aufbau,8,bs,,,,,,,,,,,
,,Abbau der Zelte und Zubehör,,,,,am Termin,aufbau,8,bs,,,,,,,,,,,
,,Anlieferung Kühlwagen und Getränke Mengen prüfen und quittieren,,,,,am Termin,aufbau,1,bs,,,,,,,,,,,
,,Feueraufsicht- Holzbesorgung,,,,,am Termin,veranstaltung,1,pv,,,"PV Fragen, ob er will",,,,,,,,
,,Pferdebegleitung durch Rumbacher Narren u. a.,,,,,am Termin,veranstaltung,8,bs,,,,,,,,,,,
,,Martinsspiel,,,,,am Termin,veranstaltung,,bs,,,Wer macht das martinsspiel? Wer ist Ansprechpartner?,,,,,,,,
,,Pferd und Musikgruppen sofort für das nächste Jahr verpflichten.,,,,,am Termin,akteure,1,bs,,,,,,,,,,,
,,"Retouren Brezel, Brötchen, Bratwurstkörbe mit Hänger Pfandbon mitnehmen",,,,,am Tag danach,brezelverkauf,2,bs,,,,,,,,,,,
,,Reinigung der Grill und Glühweinkocher,,,,,am Tag danach,abbau,2,bs,,,,,,,,,,,
,,Retouren geliehener Grill und Glühweinkocher,,,,,am Tag danach,catering,2,bs,,,,,,,,,,,
,,Reinigen der Parkanlage von Resten des Festes,,,,,am Tag danach,abbau,4,bs,,,,,,,,,,,
,,Abbau der Verkehrsschilder mit Hänger,,,,,am Tag danach,verkehr,3,bs,,,,,,,,,,,
,,Verstauung des gebrauchten Materials in die Garage,,,,,am Tag danach,abbau,4,bs,,,,,,,,,,,
,,Feststellung des Verbrauchs aus der Getränkelieferung,,,,,am Tag danach,catering,2,bs,,,Bilanzierung des Verbrauches: Leere Kaesten vs Volle und angefangene Sortieren. Weil man die nicht angefangenen zurueckkgeben kann.,,,,,,,,
,,"Waldwegsperre Am Haus Stein wieder einsetzen, Schlüssel hat Turnerbund",,,,,am Tag danach,wegsicherheit,,bs,,,,,,,,,,,